Front,Back
挨拶,"<b>Word/Phrase</b>: 挨拶<br><b>Romaji</b>: aisatsu<br><b>Meaning</b>: greet<br><b>Example</b>: 学校で先生に深々とお辞儀をしながら挨拶をしました。
gakkō de sensei ni fukafuka to ojigi o shinagara aisatsu o shimashita.
(I bowed deeply and politely greeted my teacher when I saw them at school.)

朝礼で全校生徒の前で元気よく挨拶をしました。
chōrei de zenkō seitō no mae de genki yoku aisatsu o shimashita.
(During the morning assembly, I stood in front of the entire school and greeted everyone energetically.)"
案内,"<b>Word/Phrase</b>: 案内<br><b>Romaji</b>: annai<br><b>Meaning</b>: guide<br><b>Example</b>: 友達が私の新しいアパートまで道順を詳しく案内してくれました。
tomodachi ga watashi no atarashii apāto made michijun o kuwashiku annai shite kuremashita.
(My friend gave me detailed directions and guided me all the way to my new apartment.)

駅員が複雑な駅構内を通って特急列車の乗り場まで丁寧に案内してくださいました。
ekiin ga fukuzatsu na eki kōnai o tōtte tokkyū ressha no noriba made teinei ni annai shite kudasaimashita.
(The station attendant politely guided me through the complicated station layout all the way to the limited express train platform.)"
安心,"<b>Word/Phrase</b>: 安心<br><b>Romaji</b>: anshin<br><b>Meaning</b>: relieved<br><b>Example</b>: 無事に帰宅したとの連絡を受け、ようやく重い荷物を下ろしたような安心が、疲れた体に染み渡った。

Buji ni kitaku shita to no renraku o uke, yōyaku omoi nimotsu o oroshita yōna anshin ga, tsukareta karada ni shimiwattara.

(The notification that he had arrived home safely brought a deep sense of relief—like finally setting down a heavy burden—that seeped into my exhausted body.)

プロジェクトの成功が確定した瞬間、これまでの不安が嘘のように消え、チーム全員が静かな安堵に包まれた。

Purojekuto no seikō ga kakutei shita shunkan, kore made no fuan ga uso no yō ni kie, chīmu zen’in ga shizuka na andaku ni tsutsumareta.

(The moment the project’s success was confirmed, all past anxieties vanished as if they’d never existed, and the entire team was wrapped in quiet relief.)"
びっくり,"<b>Word/Phrase</b>: びっくり<br><b>Romaji</b>: bikkuri<br><b>Meaning</b>: surprised <br><b>Example</b>: 突然、工事現場から聞こえた爆音に、近くの人は誰もが手に持っていたコーヒーをこぼしそうにびっくりした。

Totsuzen, kōji genba kara kikoeta bakionu ni, chikaku no hito wa dare mo ga te ni motte ita kōhī o koboshi-sō ni bikkuri shita.
(At the sudden deafening roar from the construction site, everyone nearby was so surprised they nearly spilled their coffee.)

駅のホームで本を読んでいた時、後ろから急に肩を叩かれ、びっくりして飛び上がるほど驚いたが、振り返ると小学校時代の親友だった。
Eki no hōmu de hon o yonde ita toki, ushiro kara kyū ni kata o tatakare, bikkuri shite tobiaragaru hodo odorokita ga, furikaeru to shōgakko jidai no shin'yū datta."
着陸,"<b>Word/Phrase</b>: 着陸<br><b>Romaji</b>: chakuriku<br><b>Meaning</b>: landing<br><b>Example</b>: 航空機が目的地に近づくにつれ、
パイロットは着陸のための最終準備に入るが、
その成功は地上の管制官との連携次第でもある。

koukuuki ga mokutekichi ni chikazuku ni tsure,
pairotto wa chakuriku no tame no saishuu junbi ni hairu ga,
sono seikou wa chijou no kanseikan to no renkei shidai de mo aru.

(As an aircraft approaches its destination,
the pilot begins final preparations for landing,
but its success also depends on coordination with ground controllers.)

着陸時の風速や視程は、
パイロットが瞬時に判断を下す際の決定的な情報となり、
少しの誤差も許されない緊張の瞬間が続く。

chakuriku-ji no fuusoku ya shitei wa,
pairotto ga shunkan ni handan o kudasu sai no ketteiteki na jouhou to nari,
sukoshi no gosa mo yurusarenai kinchou no shunkan ga tsuzuku."
遅刻,"<b>Word/Phrase</b>: 遅刻<br><b>Romaji</b>: chikoku<br><b>Meaning</b>: telat<br><b>Example</b>: 遅刻しないように、朝は余裕を持って家を出るようにしています。
chikoku shinai you ni, asa wa yoyuu o motte ie o deru you ni shiteimasu.
(I make sure to leave home with plenty of time in the morning so I won’t be late.)

遅刻をしてしまい、先生に厳しく注意されてしまった。
chikoku o shite shimai, sensei ni kibishiku chuui sarete shimatta.
(I was late and got severely scolded by my teacher.)"
貯金,"<b>Word/Phrase</b>: 貯金<br><b>Romaji</b>: chokin<br><b>Meaning</b>: tabungan<br><b>Example</b>: 将来の不測の事態に備え、毎月決まった額を貯金する習慣が、経済的な安定をもたらすといわれている。

Shōrai no futoku no jitai ni sonae, maitsuki kimatta gaku o chokin suru shūkan ga, keizaiteki na antei o motarasu to iwarete iru.

(It is said that the habit of saving a fixed amount monthly for unforeseen future events brings financial stability.)

海外の名門大学への留学を目指す彼が、アルバイト代の半分を貯金し、夢の実現に向けて着実に資金を貯めている。

Kaigai no meimon daigaku e no ryūgaku o mezasu kare ga, arubaito-dai no hanbun o chokin shi, yume no jitsugen ni mukatte chakujitsu ni shikin o tame te iru.

(He, who aims to study abroad at a prestigious university, saves half his part-time job earnings, steadily accumulating funds toward realizing his dream.)"
調査,"<b>Word/Phrase</b>: 調査<br><b>Romaji</b>: chousa<br><b>Meaning</b>: inspection<br><b>Example</b>: 警察は事故の原因を調査しており、詳細な報告書を作成する予定です。
Keisatsu wa jiko no gen'in o chousa shite ori, shousai na houkokusho o sakusei suru yotei desu.
(The police are investigating the cause of the accident and plan to prepare a detailed report.)

科学者たちは新種のウイルスについて徹底的な調査を行い、その伝播経路を解明しようとしています。
Kagakusha-tachi wa shinshu no uirusu ni tsuite tettotei na chousa o okonai, sono denpa keiro o akumeyou to shite imasu.
(Scientists are conducting a thorough investigation into the new virus, attempting to uncover its transmission routes.)"
調節,"<b>Word/Phrase</b>: 調節<br><b>Romaji</b>: chousetsu<br><b>Meaning</b>: mencocokkan<br><b>Example</b>: 調節することで、快適な環境を作ることができます。
chōsetsu suru koto de, kaiteki na kankyō o tsukuru koto ga dekimasu.
(With adjustment, you can create a comfortable environment.)

手動で調節すれば、より良い結果が得られます。
shudō de chōsetsu sureba, yori yoi kekka ga eraremasu.
(If you adjust manually, you can achieve better results.)"
駐車,"<b>Word/Phrase</b>: 駐車<br><b>Romaji</b>: chusha<br><b>Meaning</b>: parkir<br><b>Example</b>: 駐車場で空きを見つけるのに時間がかかったが、車を駐車することができた。
Chūshajō de aki o mitsukeru noni jikan ga kakatta ga, kuruma o chūsha suru koto ga dekita.
(It took time to find an empty spot in the parking lot, but I was able to park the car.)

ホテルの地下駐車場は広く、長時間の駐車も割引料金で利用できる。
Hoteru no chika chūshajō wa hiroku, chōjikan no chūsha mo waribiki ryōkin de riyō dekiru.
(The hotel's underground parking lot is spacious, and long-term parking is available at a discounted rate.)"
