Front,Back,Tags
挨拶,"Kanji: 挨拶<br>Romaji: aisatsu<br>Meaning: greet<br>Example: 学校で友達に大きな声で挨拶をしました。
Gakkou de tomodachi ni ookina koe de aisatsu o shimashita.
(I greeted my friends at school with a loud voice.)",activity
案内,"Kanji: 案内<br>Romaji: annai<br>Meaning: guide<br>Example: 友達が私の家まで案内してくれました。
Tomodachi ga watashi no ie made annai shite kuremashita.
(My friend guided me to my house.)",activity
安心,"Kanji: 安心<br>Romaji: anshin<br>Meaning: relieved<br>Example: 子供が無事に帰ってきて、安心しました。
Kodomo ga buji ni kaette kite, anshin shimashita.
(My child came home safely, and I felt relieved.)",activity
びっくり,Kanji: びっくり<br>Romaji: bikkuri<br>Meaning: surprised <br>Example: 大きな音にびっくりしました ookina oto ni bikkuri shimashita (i was surprised by a big sound),activity
着陸,"Kanji: 着陸<br>Romaji: chakuriku<br>Meaning: landing<br>Example: 飛行機が空港に着陸しました
Hikōki ga kūkō ni chakuriku shimashita
(Pesawat sudah mendarat di bandara)",activity
遅刻,"Kanji: 遅刻<br>Romaji: chikoku<br>Meaning: telat<br>Example: 遅刻しないように、早く家を出ました。
Chikoku shinai you ni, hayaku ie o demashita.
(I left home early so I wouldn't be late.)",activity
貯金,"Kanji: 貯金<br>Romaji: chokin<br>Meaning: tabungan<br>Example: 来年、海外旅行に行くために貯金しています。
Rainen, kaigai ryokō ni iku tame ni chokin shite imasu.
(I am saving money to go on an overseas trip next year.)",activity
調査,"Kanji: 調査<br>Romaji: chousa<br>Meaning: inspection<br>Example: 警察は事故の原因を調査しています
Keisatsu wa jiko no gen'in o chōsa shite imasu
(Polisi sedang menyelidiki penyebab kecelakaan)",activity
調節,"Kanji: 調節<br>Romaji: chousetsu<br>Meaning: mencocokkan<br>Example: 空調の温度を調節してください
kūchō no ondo o chōsetsu shite kudasai
(Tolong atur suhu ACnya)",activity
駐車,"Kanji: 駐車<br>Romaji: chusha<br>Meaning: parkir<br>Example: 駐車場に車を止めました
Chūshajo ni kuruma o tomemashita
(Saya parkir mobil di tempat parkir)",activity
注意,"Kanji: 注意<br>Romaji: chuui<br>Meaning: hati2, warn<br>Example: 車に注意します kuruma ni chuui shimasu (hati2 dengan mobil)",activity
注文,"Kanji: 注文<br>Romaji: chuumon<br>Meaning: order<br>Example: 注文を取る前にメニューをよく見てください
Chūmon o toru mae ni menyū o yoku mite kudasai
(Harap lihat menu dengan baik sebelum mengambil pesanan)",activity
注射,"Kanji: 注射<br>Romaji: chuusha<br>Meaning: injection<br>Example: 注射をする前に、痛くないように冷やしてください
chuusha o suru mae ni, itakunai you ni hiyashite kudasai
(""Please cool it down so it won't hurt before getting the injection"")",activity
独立,"Kanji: 独立<br>Romaji: dokuritsu<br>Meaning: independent<br>Example: 日本は戦後、独立してから経済が発展しました
Nihon wa sensen-go, dokuritsu shite kara keizai ga hadatteshimashita
(After World War II, Japan developed economically after gaining independence)",activity
遠慮,"Kanji: 遠慮<br>Romaji: enryo<br>Meaning: gak malu2<br>Example: 遠慮してください
Enryo shite kudasai
(Tolong jangan malu-malu)",activity
遠足,"Kanji: 遠足<br>Romaji: ensoku<br>Meaning: field trip<br>Example: 学校の遠足で、私たちは山に行きました
gakkō no ensoku de watashitachi wa yama ni ikimashita
(Sekolah kami pergi ke gunung untuk pergi berjalan-jalan)",activity
復習,"Kanji: 復習<br>Romaji: fukushuu<br>Meaning: review pelajaran<br>Example: 復習をしてからテストを受けましょう
fukushū o shite kara tesuto o ukemashō
(Mari belajar ulang dulu sebelum mengerjakan ujian)",activity
不足,"Kanji: 不足<br>Romaji: fusoku<br>Meaning: kurang<br>Example: 時間が不足しているので準備が間に合いません jikan ga fusoku shiteiru node junbi ga maniaimasen (karena waktunya kurang, persiapan gak sempet selesai)",activity
